"Time (s) 2.0V","Angle (rad) 2.0V","Angular Velocity (rad/s) 2.0V","Angular Acceleration (rad/s²) 2.0V","Position (m) 2.0V","Velocity (m/s) 2.0V","Acceleration (m/s²) 2.0V","Time (s) 1.5V","Angle (rad) 1.5V","Angular Velocity (rad/s) 1.5V","Angular Acceleration (rad/s²) 1.5V","Position (m) 1.5V","Velocity (m/s) 1.5V","Acceleration (m/s²) 1.5V","Time (s) 1.0V","Angle (rad) 1.0V","Angular Velocity (rad/s) 1.0V","Angular Acceleration (rad/s²) 1.0V","Position (m) 1.0V","Velocity (m/s) 1.0V","Acceleration (m/s²) 1.0V","Time (s) 2.5V","Angle (rad) 2.5V","Angular Velocity (rad/s) 2.5V","Angular Acceleration (rad/s²) 2.5V","Position (m) 2.5V","Velocity (m/s) 2.5V","Acceleration (m/s²) 2.5V","Time (s) 3.0V","Angle (rad) 3.0V","Angular Velocity (rad/s) 3.0V","Angular Acceleration (rad/s²) 3.0V","Position (m) 3.0V","Velocity (m/s) 3.0V","Acceleration (m/s²) 3.0V","Time (s) 4.0V","Angle (rad) 4.0V","Angular Velocity (rad/s) 4.0V","Angular Acceleration (rad/s²) 4.0V","Position (m) 4.0V","Velocity (m/s) 4.0V","Acceleration (m/s²) 4.0V","Time (s) 4.5V","Angle (rad) 4.5V","Angular Velocity (rad/s) 4.5V","Angular Acceleration (rad/s²) 4.5V","Position (m) 4.5V","Velocity (m/s) 4.5V","Acceleration (m/s²) 4.5V","Time (s) 5.0V","Angle (rad) 5.0V","Angular Velocity (rad/s) 5.0V","Angular Acceleration (rad/s²) 5.0V","Position (m) 5.0V","Velocity (m/s) 5.0V","Acceleration (m/s²) 5.0V","Time (s) 5.5V","Angle (rad) 5.5V","Angular Velocity (rad/s) 5.5V","Angular Acceleration (rad/s²) 5.5V","Position (m) 5.5V","Velocity (m/s) 5.5V","Acceleration (m/s²) 5.5V","Time (s) 6.0V","Angle (rad) 6.0V","Angular Velocity (rad/s) 6.0V","Angular Acceleration (rad/s²) 6.0V","Position (m) 6.0V","Velocity (m/s) 6.0V","Acceleration (m/s²) 6.0V","Time (s) 6.5V","Angle (rad) 6.5V","Angular Velocity (rad/s) 6.5V","Angular Acceleration (rad/s²) 6.5V","Position (m) 6.5V","Velocity (m/s) 6.5V","Acceleration (m/s²) 6.5V","Time (s) 3.5V","Angle (rad) 3.5V","Angular Velocity (rad/s) 3.5V","Angular Acceleration (rad/s²) 3.5V","Position (m) 3.5V","Velocity (m/s) 3.5V","Acceleration (m/s²) 3.5V"
0.500,-0.152,-0.618,0.017,-0.0036,-0.015,4.167E-4,0.500,-0.093,-0.372,0.017,-0.0022,-0.009,4.167E-4,0.500,0.035,0.539,-0.314,8.2500E-4,0.013,-0.008,,,,,,,,0.500,0.038,0.492,3.019,9.0000E-4,0.012,0.072,0.500,-0.646,-4.100,-5.341,-0.0154,-0.098,-0.127,0.500,0.259,-1.681,-22.794,0.0062,-0.040,-0.544,0.500,0.006,-1.503,-8.744,1.5000E-4,-0.036,-0.209,0.500,-0.478,2.089,-11.798,-0.0114,0.050,-0.282,0.500,-0.445,-0.529,6.824,-0.0106,-0.013,0.163,0.500,-2.105,-4.896,15.464,-0.0502,-0.117,0.369,0.500,0.013,0.634,2.269,3.0000E-4,0.015,0.054
0.550,-0.184,-0.602,0.663,-0.0044,-0.014,0.016,0.550,-0.112,-0.361,0.314,-0.0027,-0.009,0.007,0.550,0.063,0.497,-1.344,0.0015,0.012,-0.032,,,,,,,,0.550,0.066,0.654,3.037,0.0016,0.016,0.073,0.550,-0.862,-4.194,-0.175,-0.0206,-0.100,-0.004,0.550,0.118,-2.759,-16.406,0.0028,-0.066,-0.392,0.550,-0.083,-1.927,-6.685,-0.0020,-0.046,-0.160,0.550,-0.320,0.733,-27.943,-0.0077,0.017,-0.667,0.550,-0.462,-0.068,-0.646,-0.0110,-0.002,-0.015,0.550,-2.328,-4.220,14.731,-0.0556,-0.101,0.352,0.550,0.047,0.764,0.262,0.0011,0.018,0.006
0.600,-0.214,-0.550,1.239,-0.0051,-0.013,0.030,0.600,-0.129,-0.340,0.593,-0.0031,-0.008,0.014,0.600,0.086,0.398,-2.199,0.0021,0.009,-0.052,,,,,,,,0.600,0.104,0.806,2.740,0.0025,0.019,0.065,0.600,-1.081,-4.063,3.508,-0.0258,-0.097,0.084,0.600,-0.038,-3.252,-9.477,-9.0000E-4,-0.078,-0.226,0.600,-0.192,-2.215,-3.438,-0.0046,-0.053,-0.082,0.600,-0.336,-1.414,-29.583,-0.0080,-0.034,-0.706,0.600,-0.446,-0.209,-14.835,-0.0106,-0.005,-0.354,0.600,-2.527,-3.550,15.778,-0.0603,-0.085,0.377,0.600,0.088,0.749,-3.002,0.0021,0.018,-0.072
0.650,-0.240,-0.471,1.658,-0.0057,-0.011,0.040,0.650,-0.146,-0.304,0.855,-0.0035,-0.007,0.020,0.650,0.104,0.262,-2.705,0.0025,0.006,-0.065,,,,,,,,0.650,0.148,0.937,2.182,0.0035,0.022,0.052,0.650,-1.272,-3.775,5.393,-0.0304,-0.090,0.129,0.650,-0.201,-3.529,-5.603,-0.0048,-0.084,-0.134,0.650,-0.311,-2.304,0.716,-0.0074,-0.055,0.017,0.650,-0.525,-2.943,-17.139,-0.0125,-0.070,-0.409,0.650,-0.426,-1.508,-28.152,-0.0102,-0.036,-0.672,0.650,-2.697,-2.686,17.488,-0.0644,-0.064,0.417,0.650,0.138,0.461,-6.301,0.0033,0.011,-0.150
0.700,-0.261,-0.377,1.885,-0.0062,-0.009,0.045,0.700,-0.160,-0.251,1.030,-0.0038,-0.006,0.025,0.700,0.113,0.115,-2.862,0.0027,0.003,-0.068,,,,,,,,0.700,0.198,1.031,1.396,0.0047,0.025,0.033,0.700,-1.455,-3.466,5.986,-0.0347,-0.083,0.143,0.700,-0.397,-3.754,-4.311,-0.0095,-0.090,-0.103,0.700,-0.430,-2.157,5.271,-0.0103,-0.051,0.126,0.700,-0.697,-3.110,-4.049,-0.0167,-0.074,-0.097,0.700,-0.543,-3.540,-31.015,-0.0130,-0.085,-0.740,0.700,-2.801,-1.696,17.104,-0.0669,-0.040,0.408,0.700,0.146,0.037,-8.395,0.0035,8.750E-4,-0.200
0.750,-0.278,-0.278,1.937,-0.0066,-0.007,0.046,0.750,-0.171,-0.194,1.082,-0.0041,-0.005,0.026,0.750,0.115,-0.031,-2.740,0.0027,-7.500E-4,-0.065,,,,,,,,0.750,0.253,1.084,0.384,0.0060,0.026,0.009,0.750,-1.621,-3.173,6.056,-0.0387,-0.076,0.145,0.750,-0.581,-3.937,-4.032,-0.0139,-0.094,-0.096,0.750,-0.536,-1.770,9.687,-0.0128,-0.042,0.231,0.750,-0.842,-2.712,-1.292,-0.0201,-0.065,-0.031,0.750,-0.817,-5.184,-22.009,-0.0195,-0.124,-0.525,0.750,-2.860,-0.827,13.317,-0.0683,-0.020,0.318,0.750,0.127,-0.414,-9.652,0.0030,-0.010,-0.230
0.800,-0.289,-0.178,1.780,-0.0069,-0.004,0.043,0.800,-0.179,-0.141,1.030,-0.0043,-0.003,0.025,0.800,0.110,-0.168,-2.339,0.0026,-0.004,-0.056,,,,,,,,0.800,0.308,1.079,-0.803,0.0074,0.026,-0.019,0.800,-1.772,-2.869,6.301,-0.0423,-0.069,0.150,0.800,-0.784,-4.136,-3.526,-0.0187,-0.099,-0.084,0.800,-0.614,-1.168,13.456,-0.0147,-0.028,0.321,0.800,-0.952,-2.859,-7.540,-0.0227,-0.068,-0.180,0.800,-1.117,-5.838,-8.063,-0.0267,-0.139,-0.192,0.800,-2.873,-0.278,8.029,-0.0686,-0.007,0.192,0.800,0.110,-0.895,-10.943,0.0026,-0.021,-0.261
0.850,-0.295,-0.089,0.506,-0.0070,-0.002,0.012,0.850,-0.185,-0.089,0.873,-0.0044,-0.002,0.021,0.850,0.097,-0.278,-1.937,0.0023,-0.007,-0.046,,,,,,,,0.850,0.363,1.005,-2.059,0.0087,0.024,-0.049,0.850,-1.907,-2.555,7.138,-0.0455,-0.061,0.170,0.850,-0.996,-4.356,-1.518,-0.0238,-0.104,-0.036,0.850,-0.658,-0.387,13.334,-0.0157,-0.009,0.318,0.850,-1.084,-3.581,-13.038,-0.0259,-0.085,-0.311,0.850,-1.407,-5.812,4.520,-0.0336,-0.139,0.108,0.850,-2.873,-0.110,5.323,-0.0686,-0.003,0.127,0.850,0.050,-1.503,-11.990,0.0012,-0.036,-0.286
0.900,-0.297,-0.031,-2.443,-0.0071,-7.500E-4,-0.058,0.900,-0.188,-0.047,0.593,-0.0045,-0.001,0.014,0.900,0.080,-0.340,-2.880,0.0019,-0.008,-0.069,,,,,,,,0.900,0.412,0.869,-3.211,0.0098,0.021,-0.077,0.900,-2.029,-2.194,8.988,-0.0484,-0.052,0.215,0.900,-1.224,-4.393,2.513,-0.0292,-0.105,0.060,0.900,-0.658,0.497,3.334,-0.0157,0.012,0.080,0.900,-1.313,-4.503,-12.235,-0.0313,-0.108,-0.292,0.900,-1.704,-5.330,13.526,-0.0407,-0.127,0.323,0.900,-2.871,-0.005,7.278,-0.0685,-1.250E-4,0.174,0.900,-0.046,-2.157,-12.200,-0.0011,-0.052,-0.291
0.950,-0.297,-0.272,-6.423,-0.0071,-0.006,-0.153,0.950,-0.188,-0.026,0.227,-0.0045,-6.250E-4,0.005,0.950,0.061,-0.440,-6.178,0.0015,-0.010,-0.147,,,,,,,,0.950,0.451,0.675,-4.154,0.0108,0.016,-0.099,0.950,-2.130,-1.707,11.205,-0.0508,-0.041,0.267,0.950,-1.448,-4.136,7.191,-0.0346,-0.099,0.172,0.950,-0.608,0.565,-16.406,-0.0145,0.014,-0.392,0.950,-1.555,-4.979,-7.540,-0.0371,-0.119,-0.180,0.950,-1.973,-4.335,17.994,-0.0471,-0.104,0.430,0.950,-2.895,0.497,11.397,-0.0691,0.012,0.272,0.950,-0.168,-2.749,-11.537,-0.0040,-0.066,-0.275
1.000,-0.297,-0.728,-11.170,-0.0071,-0.017,-0.267,1.000,-0.190,-0.026,-0.122,-0.0045,-6.250E-4,-0.003,1.000,0.044,-0.869,-10.350,0.0011,-0.021,-0.247,,,,,,,,1.000,0.481,0.445,-4.835,0.0115,0.011,-0.115,1.000,-2.207,-1.021,11.676,-0.0527,-0.024,0.279,1.000,-1.649,-3.602,10.245,-0.0394,-0.086,0.245,1.000,-0.515,-1.121,-33.633,-0.0123,-0.027,-0.803,1.000,-1.832,-5.131,-2.985,-0.0437,-0.122,-0.071,1.000,-2.150,-3.257,17.418,-0.0513,-0.078,0.416,1.000,-2.853,1.299,13.125,-0.0681,0.031,0.313,1.000,-0.319,-3.309,-10.245,-0.0076,-0.079,-0.245
1.050,-0.377,-1.319,-17.139,-0.0090,-0.032,-0.409,1.050,-0.192,-0.042,-0.419,-0.0046,-0.001,-0.010,1.050,0.002,-1.602,-13.020,3.7500E-5,-0.038,-0.311,,,,,,,,1.050,0.496,0.183,-5.184,0.0119,0.004,-0.124,1.050,-2.242,-0.367,8.971,-0.0535,-0.009,0.214,1.050,-1.811,-2.990,10.612,-0.0432,-0.071,0.253,1.050,-0.631,-3.691,-33.615,-0.0151,-0.088,-0.803,1.050,-2.059,-5.215,0.611,-0.0492,-0.124,0.015,1.050,-2.262,-2.487,13.910,-0.0540,-0.059,0.332,1.050,-2.743,2.005,11.798,-0.0655,0.048,0.282,1.050,-0.501,-3.812,-8.133,-0.0120,-0.091,-0.194
1.100,-0.435,-2.335,-23.475,-0.0104,-0.056,-0.560,1.100,-0.193,-0.068,-0.663,-0.0046,-0.002,-0.016,1.100,-0.121,-2.283,-13.369,-0.0029,-0.054,-0.319,,,,,,,,1.100,0.500,-0.089,-5.149,0.0119,-0.002,-0.123,1.100,-2.224,-0.031,4.835,-0.0531,-7.500E-4,0.115,1.100,-1.942,-2.466,9.058,-0.0463,-0.059,0.216,1.100,-0.971,-5.335,-17.104,-0.0232,-0.127,-0.408,1.100,-2.348,-5.163,6.283,-0.0561,-0.123,0.150,1.100,-2.392,-1.953,11.065,-0.0571,-0.047,0.264,1.100,-2.634,2.424,11.292,-0.0629,0.058,0.270,1.100,-0.705,-4.168,-5.236,-0.0168,-0.099,-0.125
1.150,-0.554,-3.807,-25.866,-0.0132,-0.091,-0.618,1.150,-0.198,-0.110,-0.838,-0.0047,-0.003,-0.020,1.150,-0.254,-2.932,-12.584,-0.0061,-0.070,-0.300,,,,,,,,1.150,0.487,-0.346,-4.695,0.0116,-0.008,-0.112,1.150,-2.223,-0.005,3.107,-0.0531,-1.250E-4,0.074,1.150,-2.053,-2.089,7.121,-0.0490,-0.050,0.170,1.150,-1.260,-5.304,-0.192,-0.0301,-0.127,-0.005,1.150,-2.603,-4.765,15.167,-0.0621,-0.114,0.362,1.150,-2.477,-1.466,10.001,-0.0591,-0.035,0.239,1.150,-2.512,2.911,14.626,-0.0600,0.069,0.349,1.150,-0.925,-4.330,-2.339,-0.0221,-0.103,-0.056
1.200,-0.820,-5.283,-21.310,-0.0196,-0.126,-0.509,1.200,-0.204,-0.157,-0.908,-0.0049,-0.004,-0.022,1.200,-0.385,-3.550,-10.681,-0.0092,-0.085,-0.255,,,,,,,,1.200,0.463,-0.571,-3.910,0.0111,-0.014,-0.093,1.200,-2.235,0.068,5.253,-0.0534,0.002,0.125,1.200,-2.147,-1.785,5.794,-0.0513,-0.043,0.138,1.200,-1.488,-4.639,5.969,-0.0355,-0.111,0.142,1.200,-2.837,-3.697,24.854,-0.0677,-0.088,0.593,1.200,-2.521,-0.958,10.263,-0.0602,-0.023,0.245,1.200,-2.356,3.780,21.223,-0.0562,0.090,0.507,1.200,-1.145,-4.362,-0.244,-0.0273,-0.104,-0.006
1.250,-1.134,-6.131,-12.392,-0.0271,-0.146,-0.296,1.250,-0.214,-0.204,-0.838,-0.0051,-0.005,-0.020,1.250,-0.614,-4.110,-6.685,-0.0147,-0.098,-0.160,,,,,,,,1.250,0.429,-0.744,-2.915,0.0102,-0.018,-0.070,1.250,-2.232,0.466,9.093,-0.0533,0.011,0.217,1.250,-2.232,-1.534,5.568,-0.0533,-0.037,0.133,1.250,-1.706,-4.445,5.079,-0.0407,-0.106,0.121,1.250,-3.000,-2.131,31.276,-0.0716,-0.051,0.747,1.250,-2.573,-0.482,11.729,-0.0614,-0.011,0.280,1.250,-2.147,5.037,28.484,-0.0513,0.120,0.680,1.250,-1.360,-4.320,0.977,-0.0325,-0.103,0.023
1.300,-1.440,-6.404,-3.403,-0.0344,-0.153,-0.081,1.300,-0.225,-0.246,-0.646,-0.0054,-0.006,-0.015,1.300,-0.826,-4.309,-2.025,-0.0197,-0.103,-0.048,,,,,,,,1.300,0.386,-0.864,-1.833,0.0092,-0.021,-0.044,1.300,-2.194,1.073,11.833,-0.0524,0.026,0.283,1.300,-2.298,-1.283,6.720,-0.0549,-0.031,0.160,1.300,-1.916,-4.403,6.720,-0.0458,-0.105,0.160,1.300,-3.060,-0.340,32.289,-0.0730,-0.008,0.771,1.300,-2.584,0.141,14.242,-0.0617,0.003,0.340,1.300,-1.865,6.665,34.104,-0.0445,0.159,0.814,1.300,-1.579,-4.252,2.094,-0.0377,-0.101,0.050
1.350,-1.773,-6.404,4.259,-0.0423,-0.153,0.102,1.350,-0.239,-0.272,-0.367,-0.0057,-0.006,-0.009,1.350,-1.046,-4.178,1.222,-0.0250,-0.100,0.029,,,,,,,,1.350,0.341,-0.927,-0.855,0.0081,-0.022,-0.020,1.350,-2.124,1.717,13.107,-0.0507,0.041,0.313,1.350,-2.362,-0.922,9.338,-0.0564,-0.022,0.223,1.350,-2.165,-4.016,13.387,-0.0517,-0.096,0.320,1.350,-3.019,1.262,29.845,-0.0721,0.030,0.712,1.350,-2.559,0.953,17.523,-0.0611,0.023,0.418,1.350,-1.492,8.571,35.552,-0.0356,0.205,0.849,1.350,-1.788,-4.147,3.997,-0.0427,-0.099,0.095
1.400,-2.102,-6.032,11.345,-0.0502,-0.144,0.271,1.400,-0.253,-0.283,0.070,-0.0060,-0.007,0.002,1.400,-1.246,-4.089,2.391,-0.0297,-0.098,0.057,,,,,,,,1.400,0.292,-0.937,-2.601,0.0070,-0.022,-0.062,1.400,-2.022,2.367,14.451,-0.0483,0.056,0.345,1.400,-2.402,-0.382,12.828,-0.0573,-0.009,0.306,1.400,-2.350,-3.053,19.408,-0.0561,-0.073,0.463,1.400,-2.920,2.597,27.698,-0.0697,0.062,0.661,1.400,-2.493,1.880,21.572,-0.0595,0.045,0.515,1.400,-1.012,10.477,29.706,-0.0241,0.250,0.709,1.400,-1.993,-3.906,6.929,-0.0476,-0.093,0.165
1.450,-2.394,-5.226,17.279,-0.0571,-0.125,0.412,1.450,-0.267,-0.278,-0.367,-0.0064,-0.007,-0.009,1.450,-1.448,-3.964,3.299,-0.0346,-0.095,0.079,,,,,,,,1.450,0.245,-0.927,-9.669,0.0059,-0.022,-0.231,1.450,-1.890,3.105,16.930,-0.0451,0.074,0.404,1.450,-2.405,0.367,16.546,-0.0574,0.009,0.395,1.450,-2.477,-1.780,19.984,-0.0591,-0.043,0.477,1.450,-2.761,3.885,28.222,-0.0659,0.093,0.674,1.450,-2.378,3.037,26.948,-0.0568,0.072,0.643,1.450,-0.429,11.891,14.853,-0.0102,0.284,0.355,1.450,-2.190,-3.466,10.228,-0.0523,-0.083,0.244
1.500,-2.630,-4.178,20.525,-0.0628,-0.100,0.490,1.500,-0.281,-0.220,-4.677,-0.0067,-0.005,-0.112,1.500,-1.651,-3.807,5.009,-0.0394,-0.091,0.120,,,,,,,,1.500,0.201,-1.644,-19.024,0.0048,-0.039,-0.454,1.500,-1.718,4.021,20.246,-0.0410,0.096,0.483,1.500,-2.370,1.278,20.490,-0.0566,0.031,0.489,1.500,-2.520,-0.817,15.499,-0.0601,-0.020,0.370,1.500,-2.538,5.346,30.491,-0.0606,0.128,0.728,1.500,-2.201,4.529,33.161,-0.0525,0.108,0.792,1.500,0.215,12.257,-7.348,0.0051,0.293,-0.175,1.500,-2.348,-2.854,12.915,-0.0561,-0.068,0.308
